UTC TIME SEC  ,CH2 VOLT DC  ,Converted UTC Time,Converted Local Time,Converted Amps,mA
1475537729.504,1.566814,2016-10-03 23:35:29.504,19:35:29.504,0.007207056117755,7.20705611775529
1475537730.8,1.532485,2016-10-03 23:35:30.800,19:35:30.800,0.007049149034039,7.04914903403864
1475537732.097,1.534976,2016-10-03 23:35:32.097,19:35:32.097,0.007060607175713,7.06060717571297
1475537733.395,1.540527,2016-10-03 23:35:33.395,19:35:33.395,0.00708614075437,7.08614075436983
1475537734.948,1.551793,2016-10-03 23:35:34.948,19:35:34.948,0.007137962281509,7.13796228150874
1475537736.246,1.556446,2016-10-03 23:35:36.246,19:35:36.246,0.007159365225391,7.15936522539098
1475537737.608,1.554284,2016-10-03 23:35:37.608,19:35:37.608,0.007149420423183,7.14942042318307
1475537738.936,1.657218,2016-10-03 23:35:38.936,19:35:38.936,0.007622897884085,7.62289788408464
1475537740.233,1.865687,2016-10-03 23:35:40.233,19:35:40.233,0.008581816927323,8.58181692732291
1475537741.536,2.008281,2016-10-03 23:35:41.536,19:35:41.536,0.009237723091076,9.23772309107636
1475537742.834,1.999342,2016-10-03 23:35:42.834,19:35:42.834,0.009196605335787,9.19660533578657
1475537744.393,1.97615,2016-10-03 23:35:44.393,19:35:44.393,0.009089926402944,9.08992640294388
1475537745.687,1.872282,2016-10-03 23:35:45.687,19:35:45.687,0.008612152713891,8.61215271389144
1475537747.051,1.767992,2016-10-03 23:35:47.051,19:35:47.051,0.008132437902484,8.1324379024839
1475537748.38,1.766838,2016-10-03 23:35:48.380,19:35:48.380,0.008127129714811,8.12712971481141
1475537749.678,1.768286,2016-10-03 23:35:49.678,19:35:49.678,0.00813379024839,8.13379024839006
1475537750.976,1.839253,2016-10-03 23:35:50.976,19:35:50.976,0.008460225390984,8.46022539098436
1475537752.273,1.922732,2016-10-03 23:35:52.273,19:35:52.273,0.008844213431463,8.84421343146274
1475537753.573,1.951456,2016-10-03 23:35:53.573,19:35:53.573,0.008976338546458,8.97633854645814
1475537755.134,1.947609,2016-10-03 23:35:55.134,19:35:55.134,0.008958643054278,8.95864305427783
1475537756.495,1.970673,2016-10-03 23:35:56.495,19:35:56.495,0.009064733210672,9.06473321067158
1475537757.826,2.010333,2016-10-03 23:35:57.826,19:35:57.826,0.009247161913523,9.24716191352346
1475537759.125,2.032462,2016-10-03 23:35:59.125,19:35:59.125,0.00934895124195,9.34895124195032
1475537760.421,2.030759,2016-10-03 23:36:00.421,19:36:00.421,0.00934111775529,9.34111775528979
1475537761.716,2.018998,2016-10-03 23:36:01.716,19:36:01.716,0.009287019319227,9.28701931922723
1475537763.014,1.930261,2016-10-03 23:36:03.014,19:36:03.014,0.008878845446182,8.87884544618215
1475537764.573,1.8309,2016-10-03 23:36:04.573,19:36:04.573,0.008421803127875,8.42180312787489
1475537765.868,1.832109,2016-10-03 23:36:05.868,19:36:05.868,0.008427364305428,8.42736430542778
1475537767.23,1.836157,2016-10-03 23:36:07.230,19:36:07.230,0.008445984360626,8.44598436062558
1475537768.558,1.711314,2016-10-03 23:36:08.558,19:36:08.558,0.007871729530819,7.87172953081877
1475537769.856,1.569892,2016-10-03 23:36:09.856,19:36:09.856,0.007221214351426,7.22121435142594
1475537771.156,1.530048,2016-10-03 23:36:11.156,19:36:11.156,0.007037939282429,7.0379392824287
1475537772.453,1.533217,2016-10-03 23:36:12.453,19:36:12.453,0.007052516099356,7.05251609935603
1475537773.756,1.539592,2016-10-03 23:36:13.756,19:36:13.756,0.007081839926403,7.08183992640294
1475537775.305,1.551188,2016-10-03 23:36:15.305,19:36:15.305,0.007135179392824,7.13517939282429
1475537776.666,1.556043,2016-10-03 23:36:16.666,19:36:16.666,0.00715751149954,7.15751149954002
1475537777.995,1.553313,2016-10-03 23:36:17.995,19:36:17.995,0.00714495400184,7.14495400183993
1475537779.294,1.650294,2016-10-03 23:36:19.294,19:36:19.294,0.00759104875805,7.59104875804968
1475537780.59,1.860338,2016-10-03 23:36:20.590,19:36:20.590,0.0085572125115,8.55721251149954
1475537781.89,2.010498,2016-10-03 23:36:21.890,19:36:21.890,0.009247920883165,9.24792088316467
1475537783.186,2.004324,2016-10-03 23:36:23.186,19:36:23.186,0.009219521619135,9.21952161913523
1475537784.75,1.982232,2016-10-03 23:36:24.750,19:36:24.750,0.009117902483901,9.11790248390065
1475537786.046,1.875488,2016-10-03 23:36:26.046,19:36:26.046,0.008626899724011,8.62689972401104
1475537787.411,1.768359,2016-10-03 23:36:27.411,19:36:27.411,0.008134126034959,8.1341260349586
1475537788.738,1.764292,2016-10-03 23:36:28.738,19:36:28.738,0.008115418583257,8.11541858325667
1475537790.04,1.766325,2016-10-03 23:36:30.040,19:36:30.040,0.0081247700092,8.12477000919963
1475537791.34,1.835589,2016-10-03 23:36:31.340,19:36:31.340,0.008443371665133,8.44337166513339
1475537792.638,1.920314,2016-10-03 23:36:32.638,19:36:32.638,0.008833091076357,8.83309107635695
1475537793.936,1.952262,2016-10-03 23:36:33.936,19:36:33.936,0.00898004599816,8.98004599816007
1475537795.486,1.948745,2016-10-03 23:36:35.486,19:36:35.486,0.008963868445262,8.96386844526219
