PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475537619.155,-9.616215E-06, 1.913243E000
1475537620.453,-4.808107E-06, 1.996997E000
1475537621.751,-1.923242E-05, 1.995971E000
1475537623.312,-2.404053E-05, 1.950009E000
1475537624.608,-2.404053E-05, 1.849511E000
1475537625.907,-4.808107E-06, 1.772554E000
1475537627.269,-1.923242E-05, 1.773854E000
1475537628.598,-9.616215E-06, 1.782483E000
1475537629.901,-2.404053E-05, 1.862390E000
1475537631.200,-4.808107E-06, 1.941967E000
1475537632.498,-9.616215E-06, 1.949441E000
1475537634.048,-1.923242E-05, 1.948782E000
1475537635.345,-2.404053E-05, 1.980198E000
1475537636.706,-2.404053E-05, 2.018668E000
1475537638.034, 0.000000E000, 2.031583E000
1475537639.330,-2.404053E-05, 2.031271E000
1475537640.628,-3.365675E-05, 1.999232E000
1475537641.924,-1.442432E-05, 1.912876E000
1475537643.493,-2.884864E-05, 1.835333E000
1475537644.790,-1.923242E-05, 1.836450E000
1475537646.094,-1.923242E-05, 1.826668E000
1475537647.454,-9.616215E-06, 1.682791E000
1475537648.783,-2.404053E-05, 1.547286E000
1475537650.083,-1.923242E-05, 1.537706E000
1475537651.381,-1.923242E-05, 1.537852E000
1475537652.680,-2.404053E-05, 1.543128E000
1475537654.230,-1.923242E-05, 1.556281E000
1475537655.526,-2.404053E-05, 1.557820E000
1475537656.890,-4.808107E-06, 1.556171E000
1475537658.218,-4.808107E-06, 1.698362E000
1475537659.516,-1.442432E-05, 1.898240E000
1475537660.820, 0.000000E000, 1.999580E000
1475537662.116,-2.884864E-05, 1.995128E000
1475537663.673,-1.923242E-05, 1.959003E000
1475537664.970,-1.442432E-05, 1.857425E000
1475537666.269,-1.923242E-05, 1.769971E000
1475537667.629,-9.616215E-06, 1.772132E000
1475537668.958,-4.327297E-05, 1.775833E000
1475537670.256,-4.808107E-06, 1.853542E000
