Source,C:\Users\Chris\Google Drive\Barrel of Makers\Windmill LED panel\Schematic\Logic&Oscillator\Logic&Oscillator.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-31 01:27:19

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-31
Comment,2.0.0 Split schematic up for 4 individual PWB designs.
Comment,2.0.1 Impliment differential signalling for inter-board communications.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Mfg","MfgPart","Library","Library Ref"
"C7","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"C5","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","Power noise filter.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"J1","KLDVHCX-0202-A","CPL-CON-BARREL-2.1MM-VERT*","Kycon","KLDVHCX-0202-A","JEDEC footprint name","KLDVHCX-0202-A","https://octopart.com/kldvhcx-0202-a-kycon-21628247","806-KLDVHCX-0202-A","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyPJ-060A","12V DC / 5A / Tolerance / Ect specs","Master power input.","Y","SPEC","Connectors footprints are part specific.","","","NewUnsorted","JACK-PWR"
"C8","10µF","CPL-CAP-TANT-THT-10UF-50V","AVX","TAP106K050SCS","JEDEC footprint name","TAP106K050SCS","https://octopart.com/tap106k050scs-avx-9633","581-TAP106K050SCS","Source2 Product Link","1µF / Tantalum / 10% / 50WVDC","Power noise filter.","N","ANY","Roughly 10µF minimum 15WVDC","","","NewUnsorted","CAP_P"
"C6","10µF","CPL-CAP-TANT-THT-10UF-50V","AVX","TAP106K050SCS","JEDEC footprint name","TAP106K050SCS","https://octopart.com/tap106k050scs-avx-9633","581-TAP106K050SCS","Source2 Product Link","1µF / Tantalum / 10% / 50WVDC","Power noise filter.","N","ANY","Roughly 10µF minimum 15WVDC","","","NewUnsorted","CAP_P"
"MH3","#4 NPTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole, electrically isolated.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","","","NewUnsorted","MOUNTING_HOLE_NPTH"
"MH4","#4 NPTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole, electrically isolated.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","","","NewUnsorted","MOUNTING_HOLE_NPTH"
"C2","0.001µF","CPL-CAP-X7R-THT-1NF-100V","Kemet","C315C102K1R5TA","JEDEC footprint name","C315C102K1R5TA","https://octopart.com/c315c102k1r5ta-kemet-39418998","80-C315C102K1R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC315C102K1R5TA","Capacitor / Ceramic / 0.001µF / 20WVDC(min.)","Timer RC component.","N","ANY","ANY X7R 0.001µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"R3","15kΩ","CPL-RES-THT-15K-0.25W*","Yageo","MFR-25FBF52-15K","JEDEC footprint name","MFR-25FBF52-15K","https://octopart.com/mfr-25fbf52-15k-yageo-30491142","603-MFR-25FBF52-15K","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyMFR-25FBF52-15K","15kΩ","Biasing/pull-up resistor for Q1 inverting buffer.","N","ANY","Any tolerance THT 15kΩ 1/4W or 1/8W resistor will do.","","","NewUnsorted","RES"
"R1","15kΩ","CPL-RES-THT-15K-0.25W*","Yageo","MFR-25FBF52-15K","JEDEC footprint name","MFR-25FBF52-15K","https://octopart.com/mfr-25fbf52-15k-yageo-30491142","603-MFR-25FBF52-15K","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyMFR-25FBF52-15K","15kΩ","Timer RC component.","N","ANY","Any tolerance THT 15kΩ 1/4W or 1/8W resistor will do.","","","NewUnsorted","RES"
