Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/I&O_Epander/I&O_Epander.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-30 23:01:14

Title,Interactive Rainbow
Company,Sembazuru Circuits (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-19
Comment,2.0.0 Split schematic up for 4 individual PWB designs
Comment,2.0.1 Implement differential signalling for inter-board communication.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Library","Library Ref"
"J11","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Differential SPI input connector.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J13","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Logic power oscillator output connector.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J14","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Differential SPI output connector.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"XU2","IC_Socket16","CPL-","3M","4816-3004-CP","JEDEC footprint name","4816-3004-CP","https://octopart.com/4816-3004-cp-3m-767151","517-4816-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4816-3004-CP","16pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","any 16pin 0.1"pitch 0.3"width socket.","NewUnsorted","IC_Socket16"
"XU3","IC_Socket16","CPL-","3M","4816-3004-CP","JEDEC footprint name","4816-3004-CP","https://octopart.com/4816-3004-cp-3m-767151","517-4816-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4816-3004-CP","16pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","any 16pin 0.1"pitch 0.3"width socket.","NewUnsorted","IC_Socket16"
"XU4","IC_Socket16","CPL-","3M","4816-3004-CP","JEDEC footprint name","4816-3004-CP","https://octopart.com/4816-3004-cp-3m-767151","517-4816-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4816-3004-CP","16pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","any 16pin 0.1"pitch 0.3"width socket.","NewUnsorted","IC_Socket16"
"XU5","IC_Socket16","CPL-","3M","4816-3004-CP","JEDEC footprint name","4816-3004-CP","https://octopart.com/4816-3004-cp-3m-767151","517-4816-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4816-3004-CP","16pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","any 16pin 0.1"pitch 0.3"width socket.","NewUnsorted","IC_Socket16"
"XU6","IC_Socket16","CPL-","3M","4816-3004-CP","JEDEC footprint name","4816-3004-CP","https://octopart.com/4816-3004-cp-3m-767151","517-4816-3004-CP","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey4816-3004-CP","16pin, 0.1” pitch, 0.3” wide, DIP","IC Socket.","N","ANY","any 16pin 0.1"pitch 0.3"width socket.","NewUnsorted","IC_Socket16"
"U4","75C1168","CPL-IIC-DIFFERENTIAL-DRIVER-RECEIVER-DUAL*","Texas Instruments","SN75C1168N","PDIP16","SN75C1168N","https://octopart.com/sn75c1168n-texas+instruments-503774","595-SN75C1168N","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeySN75C1168N","+5VDC logic / 16Pin Dip","Differential driver/receiver for communication over twisted pair.","Y","ANY","Any 75xx1168 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","75C1168"
"U5","75C1168","CPL-IIC-DIFFERENTIAL-DRIVER-RECEIVER-DUAL*","Texas Instruments","SN75C1168N","PDIP16","SN75C1168N","https://octopart.com/sn75c1168n-texas+instruments-503774","595-SN75C1168N","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeySN75C1168N","+5VDC logic / 16Pin Dip","Differential driver/receiver for communication over twisted pair.","Y","ANY","Any 75xx1168 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","75C1168"
"U6","75C1168","CPL-IIC-DIFFERENTIAL-DRIVER-RECEIVER-DUAL*","Texas Instruments","SN75C1168N","PDIP16","SN75C1168N","https://octopart.com/sn75c1168n-texas+instruments-503774","595-SN75C1168N","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeySN75C1168N","+5VDC logic / 16Pin Dip","Differential driver/receiver for communication over twisted pair.","Y","ANY","Any 75xx1168 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","75C1168"
"MH3","#4 NPTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole, electrically isolated.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","NewUnsorted","MOUNTING_HOLE_NPTH"
"MH4","#4 NPTH","CPL-","Manufacturer Name","Manufacturer Part Number","JEDEC footprint name","Source1 Part Number","Source1 Product Link","Source2 Part Number","Source2 Product Link","#4 Machine screw size","Mounting hole, electrically isolated.","Y / N","ANY / SPEC","Explain critera for "ANY" Source","NewUnsorted","MOUNTING_HOLE_NPTH"
"C2","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C3","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C4","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"C5","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
