UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475544898.305, 4.808107E-06, 1.447998E000
1475544899.628,-3.365675E-05, 1.365984E000
1475544900.921,-1.923242E-05, 1.367157E000
1475544902.212,-1.442432E-05, 1.353454E000
1475544903.503,-2.404053E-05, 1.277889E000
1475544904.795,-2.404053E-05, 1.211025E000
1475544906.090,-1.923242E-05, 1.204064E000
1475544907.663,-1.442432E-05, 1.204320E000
1475544908.985,-4.808107E-06, 1.219946E000
1475544910.282,-4.808107E-06, 1.244530E000
1475544911.574, 4.808107E-06, 1.247058E000
1475544912.863,-9.616215E-06, 1.243614E000
1475544914.155,-1.923242E-05, 1.337370E000
1475544915.448,-1.442432E-05, 1.509366E000
1475544917.101, 9.616215E-06, 1.632011E000
1475544917.813,-1.923242E-05, 1.631480E000
1475544919.136,-1.923242E-05, 1.632488E000
1475544920.428,-1.923242E-05, 1.590739E000
1475544921.718,-1.442432E-05, 1.534262E000
1475544923.010,-1.442432E-05, 1.503376E000
1475544924.303,-1.923242E-05, 1.501214E000
1475544925.600,-9.616215E-06, 1.512187E000
1475544927.178,-4.808107E-06, 1.578190E000
1475544927.891,-5.224385E-32, 1.609461E000
1475544929.215,-9.616215E-06, 1.624794E000
1475544930.508,-9.616215E-06, 1.624134E000
1475544931.800,-2.404053E-05, 1.645237E000
1475544933.093,-1.923242E-05, 1.698509E000
1475544934.378,-1.923242E-05, 1.749161E000
1475544935.666,-1.923242E-05, 1.754491E000
1475544937.248,-9.616215E-06, 1.752293E000
1475544937.964,-4.808107E-06, 1.671489E000
1475544939.289,-9.616215E-06, 1.497514E000
1475544940.584, 4.808107E-06, 1.365984E000
1475544941.875,-9.616215E-06, 1.367322E000
1475544943.166,-1.442432E-05, 1.368402E000
1475544944.458,-4.808107E-06, 1.299542E000
1475544945.750,-1.923242E-05, 1.226724E000
1475544947.326,-9.616215E-06, 1.202616E000
1475544948.680,-1.442432E-05, 1.202415E000
1475544950.003,-4.808107E-06, 1.215495E000
1475544951.296,-4.808107E-06, 1.238210E000
1475544952.588,-2.884864E-05, 1.248066E000
1475544953.878,-5.224385E-32, 1.243651E000
1475544955.170,-1.442432E-05, 1.292727E000
1475544956.467, 4.808107E-06, 1.467160E000
1475544958.043,-1.442432E-05, 1.632909E000
1475544959.366,-1.442432E-05, 1.631718E000
1475544960.656,-9.616215E-06, 1.632414E000
1475544961.948,-1.442432E-05, 1.581818E000
1475544963.238,-1.442432E-05, 1.524461E000
1475544964.528,-1.923242E-05, 1.502185E000
1475544965.818,-1.442432E-05, 1.500537E000
1475544967.473,-2.404053E-05, 1.536094E000
1475544968.188,-2.884864E-05, 1.566613E000
1475544969.513,-1.442432E-05, 1.622742E000
1475544970.803,-2.404053E-05, 1.625197E000
1475544972.100,-1.923242E-05, 1.623475E000
1475544973.391,-3.365675E-05, 1.657273E000
1475544974.683,-2.404053E-05, 1.712852E000
1475544975.975,-3.365675E-05, 1.753630E000
1475544977.550,-9.616215E-06, 1.756708E000
1475544978.905,-2.884864E-05, 1.719869E000
1475544980.225,-1.923242E-05, 1.547579E000
1475544981.518,-3.846485E-05, 1.379467E000
1475544982.810,-3.365675E-05, 1.367395E000
1475544984.100,-2.404053E-05, 1.368109E000
1475544985.394,-2.884864E-05, 1.320224E000
1475544986.680,-2.884864E-05, 1.245116E000
1475544988.267,-3.365675E-05, 1.202488E000
1475544989.588,-4.327297E-05, 1.202287E000
1475544990.880,-3.846485E-05, 1.210787E000
1475544992.171,-3.365675E-05, 1.230406E000
1475544993.461,-3.365675E-05, 1.249421E000
1475544994.753,-2.404053E-05, 1.243779E000
1475544996.037,-4.327297E-05, 1.246435E000
1475544997.703,-4.327297E-05, 1.456168E000
1475544999.026,-3.846485E-05, 1.623017E000
1475545000.320,-2.404053E-05, 1.631681E000
1475545001.611,-3.846485E-05, 1.631974E000
1475545002.903,-3.365675E-05, 1.596766E000
1475545004.200,-3.365675E-05, 1.539373E000
1475545005.491,-3.846485E-05, 1.501544E000
1475545006.781,-3.846485E-05, 1.500427E000
1475545008.421,-1.923242E-05, 1.520339E000
1475545009.742,-2.884864E-05, 1.577109E000
1475545011.035,-1.923242E-05, 1.626516E000
1475545012.328,-1.923242E-05, 1.624409E000
1475545013.618,-2.404053E-05, 1.623420E000
1475545014.910,-3.365675E-05, 1.666707E000
1475545016.203,-3.846485E-05, 1.722726E000
1475545017.857,-1.442432E-05, 1.755535E000
1475545019.178,-1.923242E-05, 1.757551E000
1475545020.476,-3.846485E-05, 1.689807E000
1475545021.768,-3.365675E-05, 1.520742E000
1475545023.060,-4.327297E-05, 1.368219E000
1475545024.353,-3.365675E-05, 1.367706E000
1475545025.643,-9.616215E-06, 1.366882E000
1475545026.936,-3.365675E-05, 1.306283E000
1475545028.576,-3.365675E-05, 1.215641E000
1475545029.898,-2.884864E-05, 1.203019E000
1475545031.190,-3.365675E-05, 1.202671E000
1475545032.483,-1.923242E-05, 1.214945E000
1475545033.774,-4.327297E-05, 1.234931E000
1475545035.066,-1.923242E-05, 1.246618E000
1475545036.363,-3.846485E-05, 1.241929E000
1475545038.011,-9.616215E-06, 1.313830E000
1475545039.336,-2.884864E-05, 1.489692E000
1475545040.628,-3.846485E-05, 1.633330E000
1475545041.919,-3.846485E-05, 1.632652E000
1475545043.210,-3.846485E-05, 1.632396E000
1475545044.503,-2.884864E-05, 1.586800E000
1475545045.793,-2.404053E-05, 1.529114E000
1475545047.084,-1.923242E-05, 1.501159E000
1475545048.090,-6.250539E-05, 1.500280E000
1475545049.413,-3.365675E-05, 1.505941E000
1475545050.703,-5.769729E-05, 1.560091E000
1475545051.998,-3.846485E-05, 1.614883E000
1475545053.290,-3.846485E-05, 1.624501E000
1475545054.583,-2.884864E-05, 1.624042E000
1475545055.876,-1.923242E-05, 1.650294E000
1475545057.169,-2.884864E-05, 1.706294E000
1475545058.163,-2.884864E-05, 1.748776E000
1475545059.478,-4.327297E-05, 1.757093E000
1475545060.771,-4.327297E-05, 1.757752E000
1475545062.062,-3.365675E-05, 1.662531E000
1475545063.355,-4.327297E-05, 1.493319E000
1475545064.648,-4.327297E-05, 1.367120E000
1475545065.945,-2.404053E-05, 1.367560E000
1475545067.236,-2.884864E-05, 1.364152E000
1475545068.873,-3.365675E-05, 1.272338E000
1475545070.195,-3.365675E-05, 1.206738E000
1475545071.487,-3.365675E-05, 1.203349E000
1475545072.779,-3.846485E-05, 1.204100E000
1475545074.071,-4.327297E-05, 1.218994E000
1475545075.363,-2.404053E-05, 1.237184E000
1475545076.655,-1.923242E-05, 1.244310E000
1475545078.312,-2.404053E-05, 1.240903E000
1475545079.635,-3.846485E-05, 1.345431E000
1475545080.926,-2.404053E-05, 1.518104E000
1475545082.220,-1.442432E-05, 1.634503E000
1475545083.513,-1.923242E-05, 1.632194E000
1475545084.805,-1.923242E-05, 1.630014E000
1475545086.100,-2.404053E-05, 1.576816E000
1475545087.456,-1.442432E-05, 1.516346E000
1475545088.480,-2.404053E-05, 1.500298E000
1475545089.770,-1.442432E-05, 1.500921E000
1475545091.063,-2.404053E-05, 1.516456E000
1475545092.353,-1.442432E-05, 1.570863E000
1475545093.645,-1.923242E-05, 1.622815E000
1475545094.938,-4.808107E-06, 1.623530E000
1475545096.230,-1.442432E-05, 1.625417E000
1475545097.598,-2.404053E-05, 1.665571E000
1475545099.198,-1.923242E-05, 1.734286E000
1475545100.490,-1.442432E-05, 1.756855E000
1475545101.781,-1.442432E-05, 1.757404E000
1475545103.074,-4.808107E-06, 1.713292E000
1475545104.363,-2.884864E-05, 1.545418E000
1475545105.655,-9.616215E-06, 1.379064E000
1475545106.946,-4.808107E-06, 1.366406E000
1475545108.633,-1.923242E-05, 1.362430E000
1475545109.316,-1.923242E-05, 1.327735E000
1475545110.606,-2.884864E-05, 1.253928E000
1475545111.898,-1.442432E-05, 1.202671E000
1475545113.195,-2.404053E-05, 1.203880E000
1475545114.488,-2.404053E-05, 1.207233E000
1475545115.781,-3.365675E-05, 1.221448E000
1475545117.071,-4.808107E-06, 1.241196E000
1475545118.711,-9.616215E-06, 1.241013E000
1475545120.033,-1.442432E-05, 1.239291E000
1475545121.323,-1.442432E-05, 1.386776E000
1475545122.613,-1.442432E-05, 1.559249E000
1475545123.903,-4.327297E-05, 1.633623E000
1475545125.195,-9.616215E-06, 1.631590E000
1475545126.488,-9.616215E-06, 1.620544E000
1475545127.843,-1.923242E-05, 1.559743E000
1475545129.430,-9.616215E-06, 1.500115E000
1475545130.720,-2.404053E-05, 1.501654E000
1475545132.011,-3.365675E-05, 1.503962E000
1475545133.301,-3.365675E-05, 1.553002E000
1475545134.593,-2.404053E-05, 1.606310E000
1475545135.885,-1.923242E-05, 1.624739E000
1475545137.176,-1.923242E-05, 1.626241E000
1475545138.863,-9.616215E-06, 1.661431E000
1475545139.546,-2.404053E-05, 1.690797E000
1475545140.836,-2.884864E-05, 1.746431E000
1475545142.128,-2.884864E-05, 1.757459E000
1475545143.420,-1.923242E-05, 1.757386E000
1475545144.716,-2.404053E-05, 1.678798E000
1475545146.008,-2.884864E-05, 1.510850E000
1475545147.300,-1.923242E-05, 1.365984E000
1475545148.940,-1.442432E-05, 1.362797E000
1475545150.261,-1.442432E-05, 1.353802E000
1475545151.553,-1.923242E-05, 1.277816E000
1475545152.845,-2.884864E-05, 1.211135E000
1475545154.136,-1.442432E-05, 1.204723E000
1475545155.428,-2.404053E-05, 1.205438E000
1475545156.681,-3.365675E-05, 1.215092E000
1475545158.036, 4.808107E-06, 1.232073E000
1475545159.658,-1.442432E-05, 1.240811E000
1475545160.955,-4.808107E-06, 1.238943E000
1475545162.246,-1.442432E-05, 1.322495E000
1475545163.538,-2.404053E-05, 1.496836E000
1475545164.831,-1.442432E-05, 1.635345E000
1475545166.123,-9.616215E-06, 1.631462E000
1475545167.478,-1.923242E-05, 1.630509E000
1475545169.093,-1.442432E-05, 1.565972E000
