Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Mouser],SKU [Mouser],Packaging [Mouser],Unit Price (@ Batch Size: 1) [Mouser],Line Total [Mouser],Batch Total [Mouser],In Stock [Mouser],MOQ [Mouser],URL [Mouser],Notes
,,,,,,,,,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,,,,,,,,,,
13,TSUS5202,Vishay,TSUS5202,https://octopart.com/tsus5202-vishay-55401812,D[3-15]10,CPL-LED-5MM-IR*,"LED, IR, 950nm, 5mm, THT",13,,TSUS5202-ND,TSUS5202,88K1274,,Bulk,,,,0.421,0.344,0.144,,1467,5031,1516,,1,,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0417f97&sid=459&ppid=55401812&vpid=188125813&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0d8a3e0&sid=2401&ppid=55401812&vpid=187883880&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=00df912&sid=2402&ppid=55401812&vpid=190894752&ct=offers,Mouser,TSUS5202,,0.344,4.4719999999999995,4.4719999999999995,5031,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0d8a3e0&sid=2401&ppid=55401812&vpid=187883880&ct=offers,
12,ADA679,Adafruit Industries,ADA679,https://octopart.com/ada679-adafruit+industries-27056468,D[3-15]0[1-9],CPL-LED-RGB-CYCLING-SLOW*,"LED, RGB, SlowCycling, 5mm, THT",12,ADA679,,,,,,,,4.455,,,,-2,,,,,,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0e2a3ba&sid=13007&ppid=27056468&vpid=100983981&ct=offers,,,,,,,,,,,AdaFruit part is pack of 10. Need 117 pieces.
1,NE555P,Texas Instruments,NE555P,https://octopart.com/ne555p-texas+instruments-55400998,U201,CPL-LIC-TIMER-555,"IC, Timer, Single, 555, DIP8, THT",1,,296-1411-5-ND,NE555P,60K6706,,Tube,,,,0.44,0.43,0.454,,45915,33397,2463,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FNE555P%2F296-1411-5-ND%2F277057&ppid=55400998&sig=0fefc43&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DrkhjVJ6%252f3EIf4CWgjIKuKQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DNE555P%26utm_term%3DNE555P%26utm_content%3DTexas+Instruments&ppid=55400998&sig=07cee84&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F60K6706&ppid=55400998&sig=0d8104e&sid=2402&ct=offers,Mouser,NE555P,,0.43,0.43,0.43,33397,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DrkhjVJ6%252f3EIf4CWgjIKuKQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DNE555P%26utm_term%3DNE555P%26utm_content%3DTexas+Instruments&ppid=55400998&sig=07cee84&sid=2401&ct=offers,
1,DEV-11113,SparkFun,DEV-11113,https://octopart.com/dev-11113-sparkfun-55832348,U202,CPL-PLT-ARDUINO,"IC, Arduino, Pro-Mini, THT",1,,1568-1055-ND,,,,Bulk,,,,9.95,,,,406,,,,1,,,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FDEV-11113%2F1568-1055-ND%2F5140820&ppid=55832348&sig=0aece0a&sid=459&ct=offers,,,,,,,,,,
1,3296W-1-102LF,Bourns,3296W-1-102LF,https://octopart.com/3296w-1-102lf-bourns-115520,R203,CPL-POT-MULTI-25TURN-1K-0.5W,"Pot, 1kΩ, Trim, 25turn, THT",1,,3296W-102LF-ND,3296W-1-102LF,62J1420,,Tube,,,,2.41,2.41,2.34,,5371,2629,2514,,1,1,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0bd3064&sid=459&ppid=115520&vpid=2071345&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DCL3xLxiry19dzmeQoKwClA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3D3296W-1-102LF%26utm_term%3D3296W-1-102LF%26utm_content%3DBourns&ppid=115520&sig=0ff20dd&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F62J1420&ppid=115520&sig=0fcfc78&sid=2402&ct=offers,Mouser,3296W-1-102LF,,2.41,2.41,2.41,2629,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DCL3xLxiry19dzmeQoKwClA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3D3296W-1-102LF%26utm_term%3D3296W-1-102LF%26utm_content%3DBourns&ppid=115520&sig=0ff20dd&sid=2401&ct=offers,
1,S18V20F5,,,,PS201,CPL-REG-SWI-5V-2A-BREAKOUT*,"PowerSupply, DC-DC, 5Vout, 2A, 2.9-32Vin, SEPIC, THT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributor URL: https://www.pololu.com/product/2574
1,MFR-25FBF52-1K3,Yageo,MFR-25FBF52-1K3,https://octopart.com/mfr-25fbf52-1k3-yageo-30491146,R204,CPL-RES-THT-1.3K-0.25W*,"Resistor, 1.3kΩ, 0.25W, Axial, THT",1,,1.30KXBK-ND,MFR-25FBF52-1K3,,,Bulk,,,,0.1,0.1,,,7574,6479,,,1,1,,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FMFR-25FBF52-1K3%2F1.30KXBK-ND%2F13033&ppid=30491146&sig=07d5393&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwy07Fd%25252b144QQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-1K3%26utm_term%3DMFR-25FBF52-1K3%26utm_content%3DYageo&ppid=30491146&sig=053e383&sid=2401&ct=offers,,Mouser,MFR-25FBF52-1K3,,0.1,0.1,0.1,6479,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwy07Fd%25252b144QQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-1K3%26utm_term%3DMFR-25FBF52-1K3%26utm_content%3DYageo&ppid=30491146&sig=053e383&sid=2401&ct=offers,
130,MFR-25FBF52-180R,Yageo,MFR-25FBF52-180R,https://octopart.com/mfr-25fbf52-180r-yageo-23395631,R[3-15]0[1-9] R[3-15]11,CPL-RES-THT-180-0.25W*,"Resistor, 180Ω, 0.25W, Axial, THT",130,,,MFR-25FBF52-180R,,,,,,,,0.092,,,,7088,,,,1,,,,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwalJCFI8SQYA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-180R%26utm_term%3DMFR-25FBF52-180R%26utm_content%3DYageo&ppid=23395631&sig=0089764&sid=2401&ct=offers,,Mouser,MFR-25FBF52-180R,,0.092,11.959999999999999,11.959999999999999,7088,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwalJCFI8SQYA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-180R%26utm_term%3DMFR-25FBF52-180R%26utm_content%3DYageo&ppid=23395631&sig=0089764&sid=2401&ct=offers,
16,MFR-25FBF52-1k,Yageo,MFR-25FBF52-1K,https://octopart.com/mfr-25fbf52-1k-yageo-18902051,"R202 R205 R206
R[3-15]10",CPL-RES-THT-1k-0.25W,"Resistor, 1kΩ, 0.25W, Axial, THT",16,,1.00KXBK-ND,MFR-25FBF52-1K,,,Bulk,,,,0.084,0.033,,,276293,12669,,,1,1,,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FMFR-25FBF52-1K%2F1.00KXBK-ND%2F13011&ppid=18902051&sig=0c55bf7&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwCAC47ReWjsQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-1K%26utm_term%3DMFR-25FBF52-1K%26utm_content%3DYageo&ppid=18902051&sig=0702cad&sid=2401&ct=offers,,Mouser,MFR-25FBF52-1K,,0.033,0.528,0.528,12669,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhwCAC47ReWjsQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-1K%26utm_term%3DMFR-25FBF52-1K%26utm_content%3DYageo&ppid=18902051&sig=0702cad&sid=2401&ct=offers,
1,MFR-25FBF52-75R,Yageo,MFR-25FBF52-75R,https://octopart.com/mfr-25fbf52-75r-yageo-30319997,R201,CPL-RES-THT-75-0.25W*,"Resistor, 75Ω, 0.25W, Axial, THT",1,,75.0XBK-ND,MFR-25FBF52-75R,,,Bulk,,,,0.1,0.1,,,9272,8212,,,1,1,,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FMFR-25FBF52-75R%2F75.0XBK-ND%2F12771&ppid=30319997&sig=0d2d567&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhypodpA4jQlxA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-75R%26utm_term%3DMFR-25FBF52-75R%26utm_content%3DYageo&ppid=30319997&sig=069c815&sid=2401&ct=offers,,Mouser,MFR-25FBF52-75R,,0.1,0.1,0.1,8212,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DoAGoVhmvjhypodpA4jQlxA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DMFR-25FBF52-75R%26utm_term%3DMFR-25FBF52-75R%26utm_content%3DYageo&ppid=30319997&sig=069c815&sid=2401&ct=offers,
