Reference, Value, Footprint, Datasheet, CommonPartLibrary, Mfg, MfgPart
D1309,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1302,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1401,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1410,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1401,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1403,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1402,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1401,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1402,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1403,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1401,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1403,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1402,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1403,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1404,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1405,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1406,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1407,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1408,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1409,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1402,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D1501,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1510,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U1501,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U1503,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U1502,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R1501,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C1502,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R1503,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C1501,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C1503,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D1502,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1503,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1504,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1505,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1506,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1507,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1508,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D1509,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R1502,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
