Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/Schematic.sch
Kicad Rev,Eeschema (2015-11-15 BZR 6316)-product
Generated Date,2016-01-09 01:04:02

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,1.2.3
Date Issue,2016-01-09
Comment,1.2.0 Change design to use LEDs with integrated flashing. Simpler design.
Comment,1.2.1 Chance TIP31C to 2N2222. Don't need extra current capacity.
Comment,1.2.2 Change 555 to CMOS 7555 to simplify IR strobe design & lower current.
Comment,1.2.3 Correct 7555 enable logic level to high active.

Reference,Value,CommonPartLibrary,Mfg,MfgPart,Library,Library Ref
D1110,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U1101,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R1111,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C1101,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D1101,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q1101,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R1110,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R1101,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1102,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1102,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1103,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1103,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1104,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1104,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1105,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1105,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1106,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1106,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1107,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1107,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1108,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1108,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1109,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1109,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1210,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U1201,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R1211,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C1201,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D1201,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q1201,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R1210,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R1201,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1202,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1202,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1203,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1203,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1204,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1204,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1205,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1205,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1206,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1206,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1207,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1207,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1208,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1208,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1209,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1209,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1310,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U1301,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R1311,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C1301,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D1301,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q1301,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R1310,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R1301,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1302,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1302,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1303,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1303,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1304,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1304,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1305,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1305,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1306,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1306,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1307,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1307,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1308,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1308,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1309,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1309,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1410,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U1401,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R1411,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C1401,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D1401,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q1401,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R1410,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R1401,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1402,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1402,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1403,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1403,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1404,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1404,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1405,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1405,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1406,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1406,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1407,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1407,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1408,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1408,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1409,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1409,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1510,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U1501,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R1511,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C1501,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D1501,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q1501,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R1510,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R1501,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1502,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1502,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1503,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1503,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1504,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1504,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1505,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1505,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1506,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1506,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1507,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1507,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1508,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1508,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D1509,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R1509,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
