Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/Schematic.sch
Kicad Rev,Eeschema (2015-11-15 BZR 6316)-product
Generated Date,2016-01-09 01:04:02

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,1.2.3
Date Issue,2016-01-09
Comment,1.2.0 Change design to use LEDs with integrated flashing. Simpler design.
Comment,1.2.1 Chance TIP31C to 2N2222. Don't need extra current capacity.
Comment,1.2.2 Change 555 to CMOS 7555 to simplify IR strobe design & lower current.
Comment,1.2.3 Correct 7555 enable logic level to high active.

Reference,Value,CommonPartLibrary,Mfg,MfgPart,Library,Library Ref
R304,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D305,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R305,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D306,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R306,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D307,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R307,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D308,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R308,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D309,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R309,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D410,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U401,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R411,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C401,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D401,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q401,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R410,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R401,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D402,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R402,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D403,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R403,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D404,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R404,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D405,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R405,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D406,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R406,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D407,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R407,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D408,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R408,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D409,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R409,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D510,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U501,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R511,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C501,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
